Date,Open,High,Low,Close,Adj Close,Volume
2022-01-14,734.799988,735.950012,716.049988,721.700012,720.603149,16302342
2022-01-17,719.000000,720.599976,709.500000,712.650024,711.566895,19680557
2022-01-18,717.500000,735.900024,714.250000,725.200012,724.097839,24055886
2022-01-19,725.200012,731.950012,718.700012,729.599976,728.491089,7746270
2022-01-20,731.049988,737.150024,722.150024,728.900024,727.792175,8505400
2022-01-21,722.000000,725.250000,708.049988,712.500000,711.417114,10689060
2022-01-24,715.000000,716.400024,688.200012,704.599976,703.529053,8812501
2022-01-25,714.000000,755.000000,708.599976,752.200012,751.056763,38088158
2022-01-27,744.000000,777.000000,738.099976,773.849976,772.673828,34927774
2022-01-28,778.099976,784.700012,761.500000,764.700012,763.537781,17765524
2022-01-31,775.450012,777.799988,762.349976,773.049988,771.875061,12319200
2022-02-01,778.099976,793.900024,769.099976,781.900024,780.711670,15457534
2022-02-02,790.000000,805.900024,787.349976,804.099976,802.877869,13478899
2022-02-03,802.200012,811.900024,793.049988,799.549988,798.334778,10802708
2022-02-04,796.950012,804.500000,791.150024,798.549988,797.336304,10776387
2022-02-07,802.500000,803.599976,784.099976,789.599976,788.399902,10939179
2022-02-08,794.000000,801.000000,776.150024,798.549988,797.336304,12300670
2022-02-09,801.000000,809.500000,800.150024,803.849976,802.628235,9399830
2022-02-10,807.549988,815.950012,803.099976,809.799988,808.569214,12848281
2022-02-11,800.950012,809.900024,798.500000,803.799988,802.578308,9717894
2022-02-14,790.000000,803.000000,769.950012,773.349976,772.174622,8617389
2022-02-15,777.000000,799.099976,764.299988,796.950012,795.738770,7426563
2022-02-16,795.000000,808.299988,789.299988,797.049988,795.838562,7457765
2022-02-17,797.000000,802.000000,780.500000,782.799988,781.610229,6516308
2022-02-18,781.150024,790.549988,779.000000,787.400024,786.203308,5466662
2022-02-21,783.549988,796.799988,776.099976,788.849976,787.651062,5635224
2022-02-22,766.099976,787.000000,766.099976,779.150024,777.965820,6923558
2022-02-23,783.500000,785.500000,772.250000,777.200012,776.018799,6303173
2022-02-24,752.400024,769.150024,725.299988,730.299988,729.190063,13085009
2022-02-25,742.299988,764.849976,737.400024,758.049988,756.897888,10066136
2022-02-28,749.900024,749.900024,736.200012,742.400024,741.271667,14463418
2022-03-02,728.700012,756.450012,725.000000,750.250000,749.109741,11691602
2022-03-03,756.000000,759.450012,732.400024,737.650024,736.528931,8357181
2022-03-04,723.000000,732.500000,710.049988,715.000000,713.913330,11660648
2022-03-07,693.000000,705.000000,655.599976,667.549988,666.535400,20147061
2022-03-08,665.000000,673.750000,637.000000,670.400024,669.381104,24828458
